"HBCx14_Carboplatin1","HBCx14_chemonaive1","HBCx14_chemonaive2","HBCx14_Carboplatin2","HBCx14_Carboplatin3","HBCx14_Carboplatin4","HBCx14_Carboplatin5","HBCx14_chemonaive3","Symbol"
1267,2123,2219,1143,1537,1599,1470,2854,"SLC30A9"
767,1442,1140,489,925,734,724,1443,"MTMR11"
211,458,343,213,279,279,294,431,"COX15"
2510,3531,3779,1881,3249,3047,2448,4858,"CCDC88C"
673,899,969,587,833,800,832,1264,"YAF2"
202,67,186,351,289,380,309,255,"ZMYND11"
52,35,18,30,59,62,62,38,"WAS"
1,0,1,0,1,2,2,1,"DPEP1"
1470,2148,2142,1373,2152,1838,1821,2796,"BID"
32,67,109,20,44,22,28,115,"MATR3"
17,20,17,9,20,10,14,19,"NPC1L1"
392,556,541,337,520,457,431,654,"XYLT2"
1,7,12,3,5,2,3,2,"RGPD5"
1,1,1,0,2,0,0,1,"STMN4"
1330,2246,2241,1093,1832,1587,1556,2768,"NUDCD3"
1,1,0,0,0,4,1,0,"ISL1"
1822,3121,2623,1559,2575,2078,2153,3668,"CHDH"
157,145,228,146,160,191,201,298,"IL20RA"
0,0,0,0,0,0,0,0,"CLCA1"
0,0,0,1,0,0,2,0,"CLCA4"
408,917,868,283,529,398,449,1103,"GLT8D1"
5385,7274,8049,3651,7293,5977,5051,8883,"ATP2C1"
25,9,11,47,42,86,62,16,"IGF1"
78,56,37,65,100,70,71,258,"SLC38A5"
1784,3214,3641,1608,2570,2339,2062,4575,"RALBP1"
826,1758,1917,671,1069,930,914,2057,"RUFY3"
2,1,1,1,6,2,1,0,"CNTN1"
7,6,7,3,10,2,3,7,"SLC11A1"
6355,9599,10034,4409,8669,6440,5516,11342,"WWTR1"
1309,2070,2475,949,1641,1527,1358,2901,"AGPS"
4,2,1,1,1,0,1,1,"ZNF806"
508,837,815,538,639,636,662,972,"CXorf56"
75,7,7,484,49,102,117,76,"ATP1A2"
502,854,1012,398,616,666,548,1264,"TTC27"
22,25,26,8,28,24,27,33,"ZNF582"
1,1,0,0,0,4,0,0,"VSIG2"
1562,1677,1666,1108,1884,1667,1697,1889,"PHLDB1"
547,728,651,434,795,678,636,778,"MARCO"
47,20,12,4,47,23,20,28,"CYP24A1"
447,780,806,441,584,574,556,933,"PRDM11"
1,1,5,2,1,3,6,1,"SYT13"
5,0,0,4,4,4,9,0,"SNAI2"
35,6,0,15,33,26,27,7,"CD74"
16,3,5,16,13,15,16,6,"HGF"
1142,2005,2140,1179,1475,1514,1366,2636,"ZRANB1"
2496,2506,2698,2725,4017,3264,3341,3459,"NCDN"
127,231,225,93,179,133,127,384,"ADGRA2"
0,1,0,0,0,2,0,2,"CCT8L1P"
913,1438,1632,769,1287,1076,996,2031,"ZFP64"
253,374,416,257,302,321,360,557,"MNAT1"
523,816,1095,312,577,582,381,1106,"SAMD4A"
1527,2397,2636,1088,2271,1625,1514,3033,"RUNX3"
1049,1907,1717,779,1062,1172,1176,2121,"MRE11"
873,1519,1357,912,1157,1130,1258,1763,"PLEKHB1"
767,804,829,407,1121,588,445,889,"SERPINB1"
0,0,1,0,1,0,0,1,"CYP3A43"
8,18,15,5,14,19,18,17,"SLC7A9"
794,1474,1622,728,1127,1020,986,1898,"SPAST"
1,1,0,1,0,1,1,0,"NRXN3"
1104,1826,1861,1083,1507,1511,1628,2395,"OSBPL5"
455,856,899,340,563,552,463,1142,"AQR"
6,2,3,1,3,3,3,4,"CPS1"
0,0,0,0,0,0,0,0,"C8B"
91,80,52,295,110,152,868,170,"FHL1"
1643,2597,2428,1566,2076,1939,1914,3267,"RTF2"
0,0,0,0,1,0,0,0,"GABRA1"
949,1502,1550,847,1340,1223,1219,1899,"NLRP2"
